Name,Team,PlayerId
Adrian Houser,MIL,12718
Andrew Bellatti,PHI,10657
Héctor Neris,HOU,11804
Tim Mayza,TOR,15042
Kirby Yates,ATL,9073
Adrián Martínez,OAK,21023
Alex Lange,DET,19883
Kendall Graveman,CHW,15514
Caleb Ferguson,LAD,19349
Diego Castillo,SEA,17496
Luis Cessa,CIN,13345
Drew Pomeranz,SDP,11426
Joan Adon,WSN,22925
James Kaprielian,OAK,18331
José Leclerc,TEX,14524
Tommy Kahnle,NYY,11384
Reiver Sanmartin,CIN,19754
Connor Brogdon,PHI,21205
Dylan Coleman,KCR,22276
Josh Taylor,KCR,17359
Chad Kuhl,,14975
Trevor May,OAK,6398
Bryan Baker,BAL,19804
Matt Strahm,PHI,13799
David Robertson,NYM,8241
Kenley Jansen,BOS,3096
Dallas Keuchel,TEX,9434
Jake Diekman,CHW,5003
Kutter Crawford,BOS,20531
Tony Santillan,CIN,19926
Joey Lucchesi,NYM,19320
Bobby Miller,LAD,sa3014422
Alexis Díaz,CIN,21132
Josh Sborz,TEX,18323
Ryan Brasier,BOS,5615
Jake Cousins,MIL,21620
Trevor Megill,MIN,17722
Phil Bickford,LAD,18519
Reese Olson,DET,sa3008513
Shawn Dubin,HOU,sa3007248
Mike Burrows,PIT,sa3008517
Tommy Nance,MIA,19178
Jay Groome,SDP,sa917925
Shawn Armstrong,TBR,12857
Connor Seabold,COL,19695
Enyel De Los Santos,CLE,18403
Pierce Johnson,COL,13435
Yerry De Los Santos,PIT,21420
Tucker Davidson,LAA,19871
Kevin Ginkel,ARI,19876
Keegan Akin,BAL,19362
Víctor Arano,WSN,15915
Robert Stephenson,PIT,13594
Lucas Gilbreath,COL,21290
Buck Farmer,CIN,14814
Ryne Stanek,HOU,15947
Yency Almonte,LAD,15068
Aníbal Sánchez,,3284
Joey Wentz,DET,19962
Joely Rodríguez,BOS,11487
Yimi Garcia,TOR,12095
Anthony Bass,TOR,7982
Taylor Hearn,TEX,18325
Brooks Raley,NYM,10061
Brandon Walter,BOS,sa3010826
Thad Ward,WSN,sa3008098
Yonny Chirinos,TBR,16401
Lucas Luetge,ATL,8337
Thomas Szapucki,SFG,21065
Huascar Brazoban,MIA,6107
Cionel Pérez,CIN,19614
Luke Jackson,SFG,11752
Ian Gibaut,CIN,17871
Brandon Hughes,CHC,23460
Justin Lawrence,COL,17639
Hyun Jin Ryu,TOR,14444
Trevor Richards,TOR,19309
Steven Okert,MIA,13580
Andre Pallante,STL,26108
Chris Flexen,SEA,13896
Griffin Canning,LAA,19867
Trevor Rosenthal,,10745
Andrew Kittredge,TBR,12828
Sam Moll,OAK,14874
Rowan Wick,CHC,14646
Jared Shuster,ATL,sa3014483
Will Vest,DET,19769
Zach Jackson,OAK,19493
Steven Wilson,SDP,20353
Colin Holderman,PIT,22361
Jorge Alcala,MIN,19459
Victor González,LAD,16408
Cristopher Sánchez,PHI,20778
Mike Baumann,BAL,20206
Drew Smith,NYM,17755
Louie Varland,MIN,27691
Carlos Estévez,LAA,14542
Wandy Peralta,NYY,14295
Connor Thomas,STL,sa3010784
Emilio Pagán,MIN,14771
Joel Kuhnel,CIN,19995
Andrew Nardi,MIA,25942
Richard Lovelady,KCR,19337
Hoby Milner,MIL,13346
Dany Jiménez,OAK,21170
Michael Fulmer,,13218
Jesse Chavez,ATL,5448
Nick Nelson,PHI,20153
Alec Mills,,13834
Carl Edwards Jr.,WSN,13607
Taylor Clarke,KCR,17611
Michael Tonkin,ATL,10315
Eli Morgan,CLE,20203
Miguel Castro,ARI,15684
Colin Poche,TBR,19403
Dylan Floro,MIA,13394
Erasmo Ramírez,WSN,10314
Javier Assad,CHC,21741
Angel Zerpa,KCR,22717
Mark Leiter Jr.,,15551
Richard Bleier,BOS,7803
Jordan Weems,WSN,13190
Bryan Mata,BOS,sa917784
Jake Irvin,WSN,sa3008223
Cole Ragans,TEX,21846
Jeremiah Estrada,CHC,22210
Cole Henry,WSN,sa3014446
Matt Festa,SEA,19330
Bryce Montes de Oca,NYM,21319
Jonathan Hernández,TEX,17464
Matt Barnes,MIA,12863
Joel Payamps,MIL,14332
Mason Thompson,WSN,21850
Beau Brieske,DET,26079
Kolby Allard,ATL,18694
Cole Waites,SFG,25665
Stephen Ridings,NYM,22358
Chad Green,TOR,15552
Tanner Banks,CHW,16990
Josh Simpson,MIA,sa1053035
Scott Alexander,SFG,10591
Matt Moore,,1890
Lucas Sims,CIN,13470
Daniel Norris,,13475
Amir Garrett,KCR,14375
José Castillo,SDP,17169
Jason Foley,DET,19531
Kevin Kelly,TBR,sa3009999
Rony García,DET,20430
Packy Naughton,STL,23292
Jeff Brigham,NYM,16631
Patrick Murphy,MIN,19712
Ron Marinaccio,NYY,23488
J.P. France,HOU,sa3008310
Caleb Kilian,CHC,26213
Tyler Holton,ARI,26231
JoJo Romero,STL,19574
Yunior Marte,PHI,14416
Chad Smith,OAK,20190
Luis Frías,ARI,21997
Luis Gil,NYY,21052
Hunter Gaddis,CLE,25636
JT Chargois,MIA,13767
Josh Fleming,TBR,20418
Jake Bird,COL,21267
Glenn Otto,TEX,21366
Jimmy Cordero,NYY,15690
Matt Krook,NYY,sa737535
Zach Pop,TOR,20185
Ryan Thompson,TBR,16647
Zach Thompson,TOR,16094
Yosver Zulueta,TOR,sa3014869
Mauricio Llovera,SFG,20080
Fernando Cruz,CIN,7048
Luis Ortiz,PHI,16942
Hogan Harris,OAK,sa3009982
Dillon Tate,BAL,17796
Griff McGarry,PHI,sa3017130
Ronny Henriquez,MIN,24094
Sam Long,SFG,25379
Dennis Santana,ATL,17878
Freddy Tarnok,OAK,23324
Peter Strzelecki,MIL,21367
Simeon Woods Richardson,MIN,24494
Jimmy Nelson,,10547
Griffin Jax,MIN,20253
Brendan White,DET,sa3010663
Zack Kelly,BOS,20349
Jonathan Heasley,KCR,22224
Jarlín García,PIT,18282
Tim Herrin,CLE,sa3007262
Chris Clarke,SEA,sa3011411
Adam Cimber,TOR,15288
Paolo Espino,WSN,8246
Will Harris,,3192
Brennan Bernardino,SEA,16835
Nabil Crismatt,SDP,17732
Kevin Herget,CIN,15369
Landon Knack,LAD,sa3014518
Josh Winder,MIN,24606
Tommy Henry,ARI,26285
Josh Staumont,KCR,18335
Duane Underwood Jr.,PIT,14677
Lou Trivino,NYY,15043
Zach Greene,NYM,sa1119415
Michael Grove,LAD,23221
Nic Enright,MIA,sa3010299
Bruce Zimmermann,BAL,20370
Jackson Stephens,ATL,14420
Joey Cantillo,CLE,sa3005246
Spencer Howard,TEX,23252
Dominic Leone,,13763
John Brebbia,SFG,12777
Andrew Wantz,LAA,24933
Peter Lambert,COL,17969
Aaron Loup,LAA,10343
Jose Butto,NYM,23313
Tayler Saucedo,SEA,17888
Albert Abreu,NYY,17485
Max Castillo,KCR,21956
Corey Knebel,,15010
Cole Sands,MIN,21461
Austin Voth,BAL,15047
Zack Britton,,3240
John King,TEX,22051
Chris Rodriguez,LAA,22310
Konnor Pilkington,CLE,21453
Jake McGee,,7550
Cody Stashak,MIN,18088
Ky Bush,LAA,sa3017386
Cole Sulser,ARI,15256
Michael Rucker,CHC,19454
Connor Phillips,CIN,sa3014433
Ken Giles,,12910
Phil Maton,HOU,18064
Drew VerHagen,STL,13424
Jandel Gustave,,14665
Slade Cecconi,ARI,sa3014739
Trevor Gott,SEA,15046
Tyler Chatwood,,4338
Tommy Hunter,NYM,1157
Penn Murfee,SEA,25174
Ryan Rolison,COL,sa3008244
Dan Altavilla,BOS,16507
Alex Reyes,,15015
Clayton Beeter,NYY,sa3014536
Victor Vodnik,ATL,sa3008527
Ryan Borucki,,16350
Casey Sadler,,11209
Sean Burke,CHW,sa3017461
Andrew Vasquez,PHI,19482
Joe Ross,SFG,12972
Sean Hjelle,SFG,21481
Zack Thompson,STL,25918
Avery Weems,TEX,sa3010256
Austin Davis,HOU,17117
Kirby Snead,OAK,19179
Jackson Kowar,KCR,21549
Pedro Avila,SDP,18864
Chris Stratton,STL,13761
Gabe Speier,SEA,17170
Darius Vines,ATL,sa918848
Isaiah Campbell,SEA,sa3014432
John Curtiss,NYM,16128
Cody Bolton,PIT,sa3004975
José Ruiz,CHW,14552
Silvino Bracho,CIN,15051
Dauri Moreta,PIT,21101
Domingo Acevedo,OAK,17092
Seth Martinez,HOU,21045
Junior Fernández,TOR,18496
Anthony Misiewicz,KCR,18152
Taj Bradley,TBR,sa3007839
Will Smith,,8048
Alex Faedo,DET,19874
Aaron Sanchez,,11490
Jay Jackson,,7432
Colby White,TBR,sa3011200
Taylor Dollard,SEA,sa3014982
Jake Brentz,,17783
Yerry Rodriguez,TEX,21955
Elvis Peguero,MIL,21652
Brent Headrick,MIN,sa3011887
Trent Thornton,TOR,17948
Brett Martin,TEX,17369
Jason Alexander,MIL,19666
Rico Garcia,OAK,20023
Edwin Uceta,DET,20539
Jimmy Herget,LAA,17556
Ray Kerr,SDP,23809
Codi Heuer,CHC,23293
Karl Kauffmann,COL,sa3014526
Garrett Hill,DET,25097
Kyle Funkhouser,,19456
Casey Lawrence,,11121
Tom Cosgrove,SDP,sa915675
Brooks Wilson,ATL,sa3006966
Nick Sandlin,CLE,20517
Miguel Del Pozo,DET,18792
Justin Wilson,,4301
Jake Jewell,,16958
Tim Hill,SDP,16814
Franklin German,BOS,24750
Felipe Vázquez,PIT,12076
Tyler Kinley,COL,18297
Jake Woodford,STL,18674
Forrest Whitley,HOU,sa917930
Matt Foster,CHW,19647
Josh Winckowski,BOS,22387
Craig Stammen,,7274
Robert Stock,,6576
Chi Chi González,MIA,14663
Anthony Gose,CLE,5097
Tyson Miller,MIL,19976
Stephen Nogosek,NYM,19545
Ethan Small,MIL,26364
Zack Weiss,LAA,15444
Anthony Bender,MIA,19742
Nick Burdi,CHC,16074
Daniel Castano,,19805
Mick Abel,PHI,sa3014534
Dietrich Enns,,13932
Tanner Rainey,WSN,17610
Anthony Banda,,14706
Andrew Misiaszek,CLE,sa3010118
Ronel Blanco,HOU,19407
Levi Stoudt,CIN,sa3014545
Evan McKendry,TBR,sa3010787
Carlos Hernández,KCR,22713
Nick Snyder,TEX,23493
Blake Treinen,LAD,12572
Angel Perdomo,PIT,17759
Darien Núñez,SFG,21197
César Valdez,LAA,9013
Arodys Vizcaíno,KCR,5498
Thomas Hatch,TOR,19264
Vinny Nittoli,,16754
Kyuji Fujikawa,,14443
Sean Reid-Foley,NYM,17034
Seth Romero,,21333
David Price,,3184
Damon Jones,PHI,23310
Chase Lee,TEX,sa3016946
Janson Junk,MIL,23301
Jonny Venters,,7175
Shun Yamaguchi,,27460
Shun Yamaguchi,,27460
Kent Emanuel,,15849
Scott Effross,NYY,18384
Manny Bañuelos,,5365
James Norwood,NYY,16440
Fernando Romero,LAA,15885
Ethan Roberts,CHC,24930
Scott Oberg,COL,13911
Neftalí Feliz,,18
Eric Orze,NYM,sa3014793
Kyle Cody,TEX,19686
Wilmer Font,,5257
Garrett Richards,,9784
Anthony Kay,,20387
Luis Perdomo,,14682
Alek Jacob,SDP,sa3017100
Trey Wingenter,,17793
Andres Nunez,KCR,sa3006796
Roberto Osuna,,13764
Evan Marshall,,12297
Anthony Castro,WSN,19789
Yoan López,,17181
DJ Johnson,,12578
Buddy Boshers,,8490
Marc Church,TEX,sa3015080
Adam Morgan,,12580
Eli Villalobos,MIA,sa3007997
José De León,MIN,15463
Matt Gage,TOR,17381
Matt Dermody,BOS,14844
Jose A. Ferrer,WSN,sa3006373
Grant Hartwig,NYM,sa3017599
Jesse Hahn,,13287
Wei-Chieh Huang,PIT,17508
Colin Rea,,12317
Cody Reed,,15232
Justin Anderson,,16201
Ross Detwiler,,2859
Josh Osich,,11528
Ian Krol,,10066
Sam Gaviglio,,12778
J.B. Wendelken,,14506
Daniel Duarte,CIN,17480
Foster Griffin,,16432
Tayler Scott,,13652
Coleman Huntley,ATL,sa3014912
Alberto Baldonado,WSN,11812
Adrian Hernandez,TOR,sa3006177
Alex Young,,18333
Brandon Eisert,TOR,sa3014798
Sam Dyson,,11710
Cody Poteet,,18769
Jacob Waguespack,,18318
Ryan Weber,NYY,10160
Clayton Andrews,MIL,sa3007226
Aaron Wilkerson,,16904
Ian Hamilton,,19261
Jesús Liranzo,,sa658076
Lucas Jacobsen,TEX,sa918634
Max Kranick,PIT,22175
Mason Englert,DET,sa3015036
Sean Newcomb,,16943
Jesse Biddle,,11437
Ryan Weathers,SDP,23796
David Phelps,,6316
Anthony Vizcaya,,sa657689
Jace Fry,,16159
Hirokazu Sawamura,,27515
R.J. Alaniz,,10819
Chaz Roe,,9866
Rex Brothers,,9794
J.B. Bukauskas,SEA,20491
Randy Rosario,,14508
Jeremy Beasley,,20205
Greg Holland,,7196
Brad Wieck,,16390
Shawn Morimando,,13606
Shane Baz,TBR,22264
Trevor Bauer,,12703
Walker Buehler,LAD,19374
Huascar Ynoa,ATL,20468
Brant Hurter,DET,sa3018091
Max Meyer,MIA,27474
Chris Paddack,MIN,20099
Landen Roupp,SFG,sa3017869
Masahiro Tanaka,,15764
Daniel Espino,CLE,sa3011495
Wilmer Flores,DET,sa3015223
Jacob Lopez,TBR,sa3008338
Mason Montgomery,TBR,sa3017306
J.T. Ginn,OAK,sa3014428
Jake Eder,MIA,sa3014917
Brendan McKay,TBR,20186
Cooper Criswell,TBR,24975
Tyler Herb,MIL,sa829625
Logan Allen,CLE,sa3014444
Tsuyoshi Wada,,13046
Owen White,TEX,sa3014481
Kwang Hyun Kim,,27458
Casey Mize,DET,20492
Ricky Tiedemann,TOR,sa3018096
Ben Brown,CHC,sa3005122
Drew Rom,BAL,sa3007848
Bryce Miller,SEA,sa3017414
Logan Ondrusek,,3677
Matt Canterino,MIN,sa3011530
Randy Dobnak,MIN,23798
Tanner Bibee,CLE,sa3018170
Dax Fulton,MIA,sa3014535
CC Sabathia,,404
Dylan Dodd,ATL,sa3017684
Allan Winans,ATL,sa3007580
Ryan Murphy,SFG,sa3014871
Scott Kazmir,,4897
Sean Hunley,TBR,sa3017316
Jordan Wicks,CHC,sa3017894
Daulton Jefferies,OAK,19345
T.J. Sikkema,KCR,sa3011191
Cody Laweryson,MIN,sa3010633
Keaton Winn,SFG,sa3006968
Shun Yamaguchi,,27460
Shun Yamaguchi,,27460
Andrew Abbott,CIN,sa3017529
Tristan Beck,SFG,sa3008526
Brady Feigl,OAK,sa3007455
Denny Brady,,sa3004347
Cade Povich,BAL,sa3017787
Sawyer Gipson-Long,DET,sa3011536
Adam Wolf,DET,sa3007587
Brett Anderson,,8223
David Kubiak,,sa599473
Gavin Williams,CLE,sa3018106
Kohl Stewart,,15502
Emmet Sheehan,LAD,sa3017416
Kevin McCanna,ARI,sa658530
Sean Boyle,NYY,sa3007618
Ian Seymour,TBR,sa3014512
Nick Frasso,LAD,sa3014492
Matt Tomshaw,,sa598974
Adam Seminaris,MIL,sa3015010
Andrew Albers,,7853
Luke Westphal,,sa869541
Chayce McDermott,BAL,sa3017420
Prelander Berroa,SEA,sa3005069
Ariel Jurado,,17030
Kohei Arihara,,27505
Noah Bremer,TEX,sa915571
Jhonathan Diaz,LAA,20298
Tim Brennan,TEX,sa3008630
Gordon Graceffo,STL,sa3016849
Sean Nolin,WSN,11341
Connor Johnstone,ATL,sa3004190
Carson Seymour,SFG,sa3017868
Garrett Stallings,BAL,sa3014457
Quinn Priester,PIT,sa3011297
Zak Kent,TEX,sa3010315
Clayton Richard,,3551
Will Warren,NYY,sa3018149
Enmanuel De Jesus,MIA,sa828317
Randy Vasquez,NYY,sa3007933
Will Stewart,MIA,sa875247
Matt Shoemaker,,4776
Shumpei Yoshikawa,,sa3008654
Jaime Melendez,HOU,sa3010660
Jared Koenig,,27517
Jordan Balazovic,MIN,sa918017
Homer Bailey,,8362
Leo Crawford,,sa872530
Jake Kalish,LAA,sa709032
Spencer Arrighetti,HOU,sa3017537
Shane McCarthy,CLE,sa915740
Brian Van Belle,BOS,sa3014925
Jason García,,12143
Ethan Evanko,,sa3008037
Jake Walkinshaw,OAK,sa3010317
Jake Buchanan,,10962
Brooks Hall,,sa501327
Jesse Scholtens,CHW,sa918144
Riley Thompson,CHC,sa876287
Mike Leake,,10130
Ryan Wilson,,sa3004585
John Parke,CHW,sa3003988
Michael McGreevy,STL,sa3017598
Frank Duncan,,sa738963
Blayne Enlow,,sa3005117
Matt Osterberg,PHI,sa3017462
Robert Gasser,MIL,sa3017310
Brandon Barker,,sa829237
Nick Nastrini,LAD,sa3017413
Kenny Hernandez,STL,sa943755
Rick Porcello,,2717
Landon Marceaux,LAA,sa3017913
Ryan Cusick,OAK,sa3017385
Brenan Hanifee,DET,sa917973
Ben Gross,MIN,sa1119979
Aaron Rozek,MIN,sa3015224
Markus Solbach,,sa599472
Roddery Munoz,ATL,sa3008104
Nick Fraze,TOR,sa3010250
Cody Bradford,TEX,sa3014463
Reid Anderson,,sa1120125
Aaron Leasher,SDP,sa3004701
Mitch Spence,NYY,sa1169885
Alec Marsh,KCR,sa1159950
Ty Madden,DET,sa3018141
Ethan Elliott,,sa3010380
Jordan Geber,NYM,sa3019958
John Swanda,LAA,sa3004944
Jake Lee,LAA,sa3006766
Sam Benschoter,CIN,sa3017639
Kyle Brnovich,BAL,sa3014923
Adam Hill,SEA,sa876313
Cole Stringer,,sa3015297
Antonio Velez,BAL,sa3014850
Luis Medina,OAK,sa928510
Aiden McIntyre,,sa3007733
Wander Guante,OAK,sa3009851
Jimmy Joyce,SEA,sa3016914
Trey McGough,BAL,sa1170436
J.A. Happ,,7410
Alan Rangel,ATL,sa877578
Victor Santos,BOS,sa3003083
Tim Adleman,,10968
Hayden Juenger,TOR,sa3017103
Jake Dahlberg,,sa3004475
Carlos Martinez,,11682
Norge Vera,CHW,sa3017468
Trent Palmer,TOR,sa3014491
Ryan Watson,BAL,sa3015070
Andrew Cashner,,8782
Tanner Gordon,ATL,sa3010570
Blake Walston,ARI,sa3011814
David Leal,OAK,sa1171029
Patrick Monteverde,MIA,sa3016940
Humberto Castellanos,ARI,21183
Ryan Smith,LAA,sa1159711
Garrett Williams,OAK,sa738512
Erick Fedde,,17425
Luis De Avila,ATL,sa3005839
Caleb Sampen,TBR,sa3007965
Kai-Wei Teng,SFG,sa3007229
Jonathan Bowlan,KCR,sa3006973
Nolan Kingham,ATL,sa3008224
Jonathan Bermudez,SFG,sa3007832
David Huff,,4257
Jake Latz,TEX,21306
Matt Harvey,,11713
Justin Donatella,,sa875616
Brandon Komar,STL,sa3010630
Bryan Brickhouse,,sa597825
Jayden Murray,HOU,sa1170405
Zach Matson,,sa918537
Tyson Ross,TEX,7872
Matt Swarmer,,19705
Joey Murray,TOR,sa3007234
Paul Richan,,sa3008025
Nick Green,,sa738690
Trevor Cahill,,6249
Luis Palacios,MIA,sa3003021
Bo Takahashi,,sa830370
Brandon Young,BAL,sa3014926
Johan Dominguez,CHW,sa916727
John Gant,,13684
Jack Cushing,OAK,sa1170342
Kevin McGovern,,sa3015131
Cesar Rosado,,sa873321
Bradford Webb,TEX,sa3017508
Jackson Rose,MIA,sa3008129
Ryan Jensen,CHC,sa3011496
John Doxakis,TBR,sa1115967
Jimmy Robbins,TOR,sa3011145
Fernando Sanchez,SDP,sa3010134
Félix Hernández,,4772
Jake Arrieta,,4153
Alex Troop,WSN,sa915638
Juan Mercedes,SEA,sa3002818
Connor Grey,,sa918420
Carlos Pena,DET,sa3009519
Carlos Ocampo,,sa917771
Charlie Barnes,,19865
Nick Bush,COL,sa3007838
